2/5/2022 20:41:18:  Guardian has detected that the market is in-play
2/5/2022 20:41:18:  Guardian has detected that the market is suspended
2/5/2022 20:41:30:  Guardian has detected that the market is now unsuspended
2/5/2022 22:31:29: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: matchName: = serving:Cerundolo v Cam Ugo Carabelli - Match OddsrunnerA: Francisco Cerundolo, runnerB: Camilo Ugo Carabelli 
2/5/2022 22:32:42: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match OddsrunnerA: Francisco CerundolorunnerB: Camilo Ugo Carabelli 
2/5/2022 22:33:06: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:54:36: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:54:36: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.41; bBsp: 3.4; volume: 62170.97 
2/5/2022 22:54:36: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.41; bBsp: 3.4; volume: 62170.97 
2/5/2022 22:57:19: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 22:57:19: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.22; bBsp: 5.5; volume: 62685.48 
2/5/2022 22:57:19: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.22; bBsp: 5.5; volume: 62685.48 
2/5/2022 23:00:22: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 23:00:22: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.12; bBsp: 10; volume: 70361.74 
2/5/2022 23:00:22: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.12; bBsp: 10; volume: 70361.74 
2/5/2022 23:00:44: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 23:00:44: [G_Auto 2] :  Store Value (Shared) for market: aId = 11204210
2/5/2022 23:00:44: [G_Auto 2] :  Store Value (Shared) for market: bId = 9635538
2/5/2022 23:00:44: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.12; bBsp: 9.2; volume: 71255.52 
2/5/2022 23:00:44: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.12; bBsp: 9.2; volume: 71255.52 
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: aId = 11204210
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: bId = 9635538
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: bId = 9635538
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.09; bBsp: 15; volume: 75355.44 
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.09; bBsp: 15; volume: 75355.44 
2/5/2022 23:04:18: [G_Auto 2] :  Store Text Value (Shared) for Francisco Cerundolo: info = marketName: Cerundolo v Cam Ugo Carabelli - Match Odds; runnerA: Francisco Cerundolo; runnerB: Camilo Ugo Carabelli 
2/5/2022 23:04:18: [G_Auto 2] :  Store Value (Shared) for market: aId = 11204210
2/5/2022 23:04:18: [G_Auto 2] :  Store Value (Shared) for market: bId = 9635538
2/5/2022 23:04:18: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.11; bBsp: 10.5; volume: 75452.37 
2/5/2022 23:04:18: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.11; bBsp: 10.5; volume: 75452.37 
2/5/2022 23:09:15:  Guardian has detected that the market is suspended
