2/5/2022 20:18:57:  Guardian has detected that the market is in-play
2/5/2022 20:18:57:  Guardian has detected that the market is suspended
2/5/2022 20:19:09:  Guardian has detected that the market is now unsuspended
2/5/2022 22:31:30: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: matchName: = serving:Vilella Martinez v Hanfmann - Match OddsrunnerA: Mario Vilella Martinez, runnerB: Yannick Hanfmann 
2/5/2022 22:32:43: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match OddsrunnerA: Mario Vilella MartinezrunnerB: Yannick Hanfmann 
2/5/2022 22:33:07: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:50:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.42; bBsp: 3.3; volume: 82697.8 
2/5/2022 22:50:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.42; bBsp: 3.3; volume: 82697.8 
2/5/2022 22:53:07: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:53:07: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.89; bBsp: 2.12; volume: 89201.25 
2/5/2022 22:53:07: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.89; bBsp: 2.12; volume: 89201.25 
2/5/2022 22:54:37: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:54:37: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.4; bBsp: 2.84; volume: 90438.94 
2/5/2022 22:54:37: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.4; bBsp: 2.84; volume: 90438.94 
2/5/2022 22:57:12: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 22:57:12: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 95340.63 
2/5/2022 22:57:12: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.46; bBsp: 3.2; volume: 95340.63 
2/5/2022 23:00:16: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:00:16: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.95; bBsp: 2.04; volume: 96922.9 
2/5/2022 23:00:16: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 1.95; bBsp: 2.04; volume: 96922.9 
2/5/2022 23:00:45: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:00:45: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:00:45: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:00:45: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.06; bBsp: 1.95; volume: 98997.21 
2/5/2022 23:00:45: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.06; bBsp: 1.95; volume: 98997.21 
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:04:04: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.78; bBsp: 1.56; volume: 104526.03 
2/5/2022 23:04:04: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.78; bBsp: 1.56; volume: 104526.03 
2/5/2022 23:04:19: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:04:19: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:04:19: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:04:19: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.72; bBsp: 1.58; volume: 104670.55 
2/5/2022 23:04:19: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 2.72; bBsp: 1.58; volume: 104670.55 
2/5/2022 23:10:40: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:10:40: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:10:40: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:10:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 4.7; bBsp: 1.27; volume: 122770.2 
2/5/2022 23:10:40: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 4.7; bBsp: 1.27; volume: 122770.2 
2/5/2022 23:16:35: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:16:35: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:16:35: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:16:35: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 8; bBsp: 1.14; volume: 131312.36 
2/5/2022 23:16:35: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 8; bBsp: 1.14; volume: 131312.36 
2/5/2022 23:17:54: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:17:54: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:17:54: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:17:54: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 9.2; bBsp: 1.12; volume: 132016.15 
2/5/2022 23:17:54: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 9.2; bBsp: 1.12; volume: 132016.15 
2/5/2022 23:19:08: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:19:08: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:19:08: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:19:08: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 10; bBsp: 1.11; volume: 134078.2 
2/5/2022 23:19:08: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 10; bBsp: 1.11; volume: 134078.2 
2/5/2022 23:35:43: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:35:43: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:35:43: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:35:43: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 16; bBsp: 1.05; volume: 157173.28 
2/5/2022 23:35:43: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 16; bBsp: 1.05; volume: 157173.28 
2/5/2022 23:37:47: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:37:47: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:37:47: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:37:47: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 18; bBsp: 1.05; volume: 157665.57 
2/5/2022 23:37:47: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 18; bBsp: 1.05; volume: 157665.57 
2/5/2022 23:54:20: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:54:20: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:54:20: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:54:20: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 21; bBsp: 1.05; volume: 171503.42 
2/5/2022 23:54:20: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 21; bBsp: 1.05; volume: 171503.42 
2/5/2022 23:54:41: [G_Auto 2] :  Store Text Value (Shared) for Mario Vilella Martinez: info = marketName: Vilella Martinez v Hanfmann - Match Odds; runnerA: Mario Vilella Martinez; runnerB: Yannick Hanfmann 
2/5/2022 23:54:41: [G_Auto 2] :  Store Value (Shared) for market: aId = 7839746
2/5/2022 23:54:41: [G_Auto 2] :  Store Value (Shared) for market: bId = 8639275
2/5/2022 23:54:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 15; bBsp: 1.09; volume: 171700.74 
2/5/2022 23:54:41: [G_Auto 2] :  Store Text Value (Shared) for market: inplayInfo = aBsp: 15; bBsp: 1.09; volume: 171700.74 
2/5/2022 23:58:04:  Guardian has detected that the market is suspended
