2/23/2022 12:40:24:  Guardian has detected that the market is in-play
2/23/2022 12:40:24:  Guardian has detected that the market is suspended
2/23/2022 12:40:34:  Guardian has detected that the market is now unsuspended
2/23/2022 12:53:31: [G_Auto 3] :  € 24.00 Back bet placed on Francesco Maestrelli at 2.42. Fully matched at 4.4.  Ref: 10028
2/23/2022 12:53:31: [G_Auto 3] :  € 10.00 Back bet placed on Francesco Maestrelli at 10. Entirely unmatched when it initially reached the market.   Ref: 10030
2/23/2022 12:53:31: [G_Auto 3] :  € 34.00 Back bet placed on Francesco Maestrelli at 3.4. Fully matched at 4.4.  Ref: 10031
2/23/2022 12:53:38:  Cancelling bets 10030  
2/23/2022 12:53:43:  Cancelling bets 10004  
2/23/2022 13:07:37: [G_Auto 2] :  € 31.00 Back bet placed on Jelle Sels at 3.1. Entirely unmatched when it initially reached the market.   Ref: 10045
2/23/2022 13:07:37: [G_Auto 2] :  € 10.00 Back bet placed on Jelle Sels at 10. Entirely unmatched when it initially reached the market.   Ref: 10044
2/23/2022 13:07:37: [G_Auto 2] :  € 20.00 Back bet placed on Jelle Sels at 2.04. Entirely unmatched when it initially reached the market.   Ref: 10048
2/23/2022 13:07:37: [G_Auto 2] :  € 15.00 Back bet placed on Jelle Sels at 1.51. Entirely unmatched when it initially reached the market.   Ref: 10047
2/23/2022 13:07:37: [G_Auto 2] :  € 13.00 Back bet placed on Jelle Sels at 1.34. Entirely unmatched when it initially reached the market.   Ref: 10046
2/23/2022 13:08:23: [G_Auto 1] :  € 16.00 Back bet placed on Jelle Sels at 1.16. Entirely unmatched when it initially reached the market.   Ref: 10049
2/23/2022 13:08:23: [G_Auto 1] :  € 23.00 Back bet placed on Jelle Sels at 1.23. Entirely unmatched when it initially reached the market.   Ref: 10050
2/23/2022 13:08:23: [G_Auto 1] :  € 18.00 Back bet placed on Jelle Sels at 1.86. Entirely unmatched when it initially reached the market.   Ref: 10053
2/23/2022 13:08:23: [G_Auto 1] :  € 39.00 Back bet placed on Jelle Sels at 1.39. Entirely unmatched when it initially reached the market.   Ref: 10051
2/23/2022 13:08:23: [G_Auto 1] :  € 59.00 Back bet placed on Jelle Sels at 1.59. Entirely unmatched when it initially reached the market.   Ref: 10052
2/23/2022 13:08:23: [G_Auto 1] :  € 26.00 Back bet placed on Jelle Sels at 2.26. Entirely unmatched when it initially reached the market.   Ref: 10054
2/23/2022 13:08:23: [G_Auto 1] :  € 28.00 Back bet placed on Jelle Sels at 2.84. Entirely unmatched when it initially reached the market.   Ref: 10055
2/23/2022 13:38:35:  Guardian has detected that the market is suspended
